,matches,picks,position,bans,teams,kills,deaths,assists,gold,ten_min_gold,ten_min_lane_opponent_gold,challenges,win
4208,NA1_4252182075,Vayne,BOTTOM,Yuumi,red,6,8,7,11322,3460,3496,"{'deathsByEnemyChamps': 8, 'hadAfkTeammate': 0, 'kda': 1.625, 'laningPhaseGoldExpAdvantage': '0', 'maxLevelLeadLaneOpponent': '0', 'teamDamagePercentage': 0.149290527988967, 'visionScoreAdvantageLaneOpponent': '0'}",True
4209,NA1_4252182075,Nami,UTILITY,Zeri,red,2,5,25,9381,2829,0,"{'deathsByEnemyChamps': 5, 'hadAfkTeammate': 0, 'kda': 5.4, 'laningPhaseGoldExpAdvantage': '0', 'maxLevelLeadLaneOpponent': '0', 'teamDamagePercentage': 0.08693572590341801, 'visionScoreAdvantageLaneOpponent': '0'}",True
4210,NA1_4251068195,Mordekaiser,TOP,Zed,blue,8,5,5,12592,3836,3320,"{'deathsByEnemyChamps': 5, 'hadAfkTeammate': 0, 'kda': 2.6, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 2, 'teamDamagePercentage': 0.301700017959587, 'visionScoreAdvantageLaneOpponent': 3.533437490463257}",True
4211,NA1_4251068195,Warwick,JUNGLE,Tryndamere,blue,10,4,8,11723,4300,3832,"{'deathsByEnemyChamps': 4, 'hadAfkTeammate': 0, 'kda': 4.5, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 2, 'teamDamagePercentage': 0.16289152811023203, 'visionScoreAdvantageLaneOpponent': 1.387565612792968}",True
4212,NA1_4251068195,Viktor,MIDDLE,Kindred,blue,5,2,5,12302,3801,4678,"{'deathsByEnemyChamps': 2, 'hadAfkTeammate': 0, 'kda': 5, 'laningPhaseGoldExpAdvantage': -0.0010286569595330001, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.23608079898413603, 'visionScoreAdvantageLaneOpponent': 1.9219772815704341}",True
4213,NA1_4251068195,Xayah,BOTTOM,Zeri,blue,6,7,4,9579,3981,3696,"{'deathsByEnemyChamps': 7, 'hadAfkTeammate': 0, 'kda': 1.428571428571428, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.222237749464883, 'visionScoreAdvantageLaneOpponent': 2.140316247940063}",True
4214,NA1_4251068195,Soraka,UTILITY,Pyke,blue,0,3,14,6931,2758,2576,"{'deathsByEnemyChamps': 3, 'hadAfkTeammate': 0, 'kda': 4.666666666666667, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 2, 'teamDamagePercentage': 0.077089905481158, 'visionScoreAdvantageLaneOpponent': 0.823496878147125}",True
4215,NA1_4251068195,Volibear,TOP,Yuumi,red,4,8,2,9156,3320,3836,"{'deathsByEnemyChamps': 8, 'hadAfkTeammate': 0, 'kda': 0.75, 'laningPhaseGoldExpAdvantage': -0.137490630149841, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.200513709409314, 'visionScoreAdvantageLaneOpponent': 0.28301051259040805}",False
4216,NA1_4251068195,Viego,JUNGLE,Jinx,red,5,7,7,8519,3832,4300,"{'deathsByEnemyChamps': 7, 'hadAfkTeammate': 0, 'kda': 1.714285714285714, 'laningPhaseGoldExpAdvantage': -0.11146384477615301, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.18432792764569603, 'visionScoreAdvantageLaneOpponent': 0.7206866145133971}",False
4217,NA1_4251068195,Yone,MIDDLE,Lulu,red,9,3,4,11471,4678,3801,"{'deathsByEnemyChamps': 3, 'hadAfkTeammate': 0, 'kda': 4.333333333333333, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.221403911882171, 'visionScoreAdvantageLaneOpponent': 0.5202975273132321}",False
